Entity,Code,Year,Fixed telephone subscriptions (per 100 people),"GDP per capita, PPP (constant 2017 international $)","Total population (Gapminder, HYDE & UN)",Continent
Africa,,1901,,,139094637,
Africa,,1902,,,139567767,
Africa,,1903,,,140074606,
Africa,,1904,,,140595545,
Africa,,1905,,,141130711,
Africa,,1906,,,141680233,
Africa,,1907,,,142244256,
Africa,,1908,,,142822923,
Africa,,1909,,,143407172,
Africa,,1910,,,144170612,
Africa,,1911,,,144586985,
Africa,,1912,,,145180745,
Africa,,1913,,,145775225,
Africa,,1914,,,146378430,
Africa,,1915,,,146990451,
Africa,,1916,,,147611381,
Africa,,1917,,,148241306,
Africa,,1918,,,148852646,
Africa,,1919,,,149715052,
Africa,,1920,,,151007600,
Africa,,1921,,,152208708,
Africa,,1922,,,153847948,
Africa,,1923,,,155754237,
Africa,,1924,,,157688951,
Africa,,1925,,,159652537,
Africa,,1926,,,161645440,
Africa,,1927,,,163668127,
Africa,,1928,,,165721048,
Africa,,1929,,,167806256,
Africa,,1930,,,170123290,
Africa,,1931,,,172075410,
Africa,,1932,,,174260306,
Africa,,1933,,,176479403,
Africa,,1934,,,178731614,
Africa,,1935,,,181017458,
Africa,,1936,,,183337445,
Africa,,1937,,,185692116,
Africa,,1938,,,188081992,
Africa,,1939,,,190625616,
Africa,,1940,,,193553408,
Africa,,1941,,,196192789,
Africa,,1942,,,199225975,
Africa,,1943,,,202432183,
Africa,,1944,,,205698555,
Africa,,1945,,,209026260,
Africa,,1946,,,212416498,
Africa,,1947,,,215870471,
Africa,,1948,,,219389433,
Africa,,1949,,,223251064,
Africa,,1950,,,227794137,
Africa,,1951,,,232327854,
Africa,,1952,,,237096560,
Africa,,1953,,,242092455,
Africa,,1954,,,247310597,
Africa,,1955,,,252748917,
Africa,,1956,,,258408217,
Africa,,1957,,,264292214,
Africa,,1958,,,270407028,
Africa,,1959,,,276760722,
Africa,,1960,,,283361169,
Africa,,1961,,,290214463,
Africa,,1962,,,297322603,
Africa,,1963,,,304683363,
Africa,,1964,,,312291849,
Africa,,1965,,,320147295,
Africa,,1966,,,328256593,
Africa,,1967,,,336631176,
Africa,,1968,,,345280352,
Africa,,1969,,,354214821,
Africa,,1970,,,363447593,
Africa,,1971,,,372983506,
Africa,,1972,,,382837766,
Africa,,1973,,,393044438,
Africa,,1974,,,403645936,
Africa,,1975,,,414674675,
Africa,,1976,,,426144455,
Africa,,1977,,,438054806,
Africa,,1978,,,450403896,
Africa,,1979,,,463183559,
Africa,,1980,,,476386225,
Africa,,1981,,,490003904,
Africa,,1982,,,504034176,
Africa,,1983,,,518479759,
Africa,,1984,,,533345151,
Africa,,1985,,,548626140,
Africa,,1986,,,564327298,
Africa,,1987,,,580424290,
Africa,,1988,,,596849006,
Africa,,1989,,,613512108,
Africa,,1990,,,630349685,
Africa,,1991,,,647344041,
Africa,,1992,,,664512034,
Africa,,1993,,,681869333,
Africa,,1994,,,699445412,
Africa,,1995,,,717270112,
Africa,,1996,,,735361106,
Africa,,1997,,,753737584,
Africa,,1998,,,772437161,
Africa,,1999,,,791504165,
Africa,,2000,,,810984230,
Africa,,2001,,,830902539,
Africa,,2002,,,851298437,
Africa,,2003,,,872248336,
Africa,,2004,,,893842786,
Africa,,2005,,,916154285,
Africa,,2006,,,939210049,
Africa,,2007,,,963021837,
Africa,,2008,,,987623519,
Africa,,2009,,,1013045724,
Africa,,2010,,,1039304030,
Africa,,2011,,,1066409711,
Africa,,2012,,,1094343029,
Africa,,2013,,,1123045137,
Africa,,2014,,,1152433617,
Africa,,2015,,,1182438803,
Africa,,2016,,,1213040542,
Africa,,2017,,,1244222269,
Africa,,2018,,,1275921014,
Africa,,2019,,,1308064176,
Africa,,2020,,,1340598111,
Africa,,2021,,,1373486472,
Africa Eastern and Southern,,1960,0.814738244,,,
Africa Eastern and Southern,,1961,0.842367989,,,
Africa Eastern and Southern,,1962,0.843302196,,,
Africa Eastern and Southern,,1963,0.844147336,,,
Africa Eastern and Southern,,1964,0.844889228,,,
Africa Eastern and Southern,,1965,0.787191639,,,
Africa Eastern and Southern,,1966,0.793235824,,,
Africa Eastern and Southern,,1967,0.793285842,,,
Africa Eastern and Southern,,1968,0.793241386,,,
Africa Eastern and Southern,,1969,0.793198742,,,
Africa Eastern and Southern,,1970,0.765614708,,,
Africa Eastern and Southern,,1971,0.773276942,,,
Africa Eastern and Southern,,1972,0.773499134,,,
Africa Eastern and Southern,,1973,0.773571514,,,
Africa Eastern and Southern,,1974,0.773216402,,,
Africa Eastern and Southern,,1975,0.86953077,,,
Africa Eastern and Southern,,1976,0.866585187,,,
Africa Eastern and Southern,,1977,0.909748736,,,
Africa Eastern and Southern,,1978,0.974521569,,,
Africa Eastern and Southern,,1979,0.982840876,,,
Africa Eastern and Southern,,1980,1.026932966,,,
Africa Eastern and Southern,,1981,1.034268255,,,
Africa Eastern and Southern,,1982,1.088099651,,,
Africa Eastern and Southern,,1983,1.127246006,,,
Africa Eastern and Southern,,1984,1.142745171,,,
Africa Eastern and Southern,,1985,1.18351588,,,
Africa Eastern and Southern,,1986,1.255148518,,,
Africa Eastern and Southern,,1987,1.287963765,,,
Africa Eastern and Southern,,1988,1.337735237,,,
Africa Eastern and Southern,,1989,1.393171884,,,
Africa Eastern and Southern,,1990,1.450147231,2867.192554,,
Africa Eastern and Southern,,1991,1.47462164,2783.028528,,
Africa Eastern and Southern,,1992,1.443411691,2642.479937,,
Africa Eastern and Southern,,1993,1.463931494,2551.342966,,
Africa Eastern and Southern,,1994,1.501438552,2528.416435,,
Africa Eastern and Southern,,1995,1.560719631,2570.462183,,
Africa Eastern and Southern,,1996,1.630882408,2642.467351,,
Africa Eastern and Southern,,1997,1.736190742,2659.714031,,
Africa Eastern and Southern,,1998,1.858176948,2637.930638,,
Africa Eastern and Southern,,1999,1.974334297,2640.336494,,
Africa Eastern and Southern,,2000,1.860830997,2654.7679,,
Africa Eastern and Southern,,2001,1.859696536,2678.706201,,
Africa Eastern and Southern,,2002,1.901948957,2707.908666,,
Africa Eastern and Southern,,2003,1.955030397,2718.734747,,
Africa Eastern and Southern,,2004,1.948368036,2797.851356,,
Africa Eastern and Southern,,2005,1.842862969,2901.690263,,
Africa Eastern and Southern,,2006,1.824090479,3023.417952,,
Africa Eastern and Southern,,2007,1.839430931,3159.880407,,
Africa Eastern and Southern,,2008,1.833537953,3229.278198,,
Africa Eastern and Southern,,2009,1.872543022,3192.547923,,
Africa Eastern and Southern,,2010,1.823849843,3273.44737,,
Africa Eastern and Southern,,2011,1.728802849,3338.582007,,
Africa Eastern and Southern,,2012,1.633809838,3394.212337,,
Africa Eastern and Southern,,2013,1.359376962,3462.877898,,
Africa Eastern and Southern,,2014,1.312356364,3524.832934,,
Africa Eastern and Southern,,2015,1.29483888,3549.480563,,
Africa Eastern and Southern,,2016,1.363999664,3546.71125,,
Africa Eastern and Southern,,2017,1.345245299,3569.667028,,
Africa Eastern and Southern,,2018,1.007202561,3579.271917,,
Africa Eastern and Southern,,2019,0.773397796,3568.597017,,
Africa Eastern and Southern,,2020,,3387.59467,,
Africa Western and Central,,1960,0.061083505,,,
Africa Western and Central,,1961,0.061229388,,,
Africa Western and Central,,1962,0.061344375,,,
Africa Western and Central,,1963,0.061462302,,,
Africa Western and Central,,1964,0.061584088,,,
Africa Western and Central,,1966,0.084772283,,,
Africa Western and Central,,1967,0.084924887,,,
Africa Western and Central,,1968,0.085069734,,,
Africa Western and Central,,1969,0.085237512,,,
Africa Western and Central,,1971,0.097804436,,,
Africa Western and Central,,1972,0.098227014,,,
Africa Western and Central,,1973,0.098643513,,,
Africa Western and Central,,1974,0.098995565,,,
Africa Western and Central,,1981,0.234048662,,,
Africa Western and Central,,1982,0.229832109,,,
Africa Western and Central,,1983,0.250813726,,,
Africa Western and Central,,1984,0.258114393,,,
Africa Western and Central,,1985,0.263590057,,,
Africa Western and Central,,1986,0.272657897,,,
Africa Western and Central,,1987,0.280115354,,,
Africa Western and Central,,1988,0.285901377,,,
Africa Western and Central,,1989,0.29737198,,,
Africa Western and Central,,1990,0.322160446,2810.781204,,
Africa Western and Central,,1991,0.32921817,2771.225958,,
Africa Western and Central,,1992,0.353916015,2765.522571,,
Africa Western and Central,,1993,0.371553146,2665.864237,,
Africa Western and Central,,1994,0.395208695,2594.500887,,
Africa Western and Central,,1995,0.428274765,2582.238115,,
Africa Western and Central,,1996,0.454985209,2633.380971,,
Africa Western and Central,,1997,0.480186458,2661.791152,,
Africa Western and Central,,1998,0.530581061,2685.41791,,
Africa Western and Central,,1999,0.586360054,2658.745063,,
Africa Western and Central,,2000,0.670676426,2676.806408,,
Africa Western and Central,,2001,0.726993989,2748.431902,,
Africa Western and Central,,2002,0.774893502,2929.127354,,
Africa Western and Central,,2003,0.807569409,3013.996206,,
Africa Western and Central,,2004,0.869794462,3159.385466,,
Africa Western and Central,,2005,0.928685157,3254.022839,,
Africa Western and Central,,2006,1.104767367,3332.798697,,
Africa Western and Central,,2007,1.071108195,3419.859887,,
Africa Western and Central,,2008,0.980372013,3530.74139,,
Africa Western and Central,,2009,1.097142402,3640.418071,,
Africa Western and Central,,2010,0.960690799,3773.011461,,
Africa Western and Central,,2011,0.878461258,3854.720594,,
Africa Western and Central,,2012,0.794428254,3953.022294,,
Africa Western and Central,,2013,0.768954448,4076.151554,,
Africa Western and Central,,2014,0.781707775,4197.742146,,
Africa Western and Central,,2015,0.733039843,4202.057923,,
Africa Western and Central,,2016,0.695990811,4106.969511,,
Africa Western and Central,,2017,0.632892304,4099.559666,,
Africa Western and Central,,2018,0.628646636,4115.235801,,
Africa Western and Central,,2019,0.584424178,4142.398382,,
Africa Western and Central,,2020,,4003.158913,,
Akrotiri and Dhekelia,OWID_AKD,2015,,,,Asia
Albania,ALB,1900,,,811069,
Albania,ALB,1901,,,818784,
Albania,ALB,1902,,,826432,
Albania,ALB,1903,,,834010,
Albania,ALB,1904,,,841658,
Albania,ALB,1905,,,849375,
Albania,ALB,1906,,,857164,
Albania,ALB,1907,,,865024,
Albania,ALB,1908,,,872955,
Albania,ALB,1909,,,880526,
Albania,ALB,1910,,,887729,
Albania,ALB,1911,,,894559,
Albania,ALB,1912,,,901008,
Albania,ALB,1913,,,907070,
Albania,ALB,1914,,,913173,
Albania,ALB,1915,,,919317,
Albania,ALB,1916,,,925502,
Albania,ALB,1917,,,931729,
Albania,ALB,1918,,,937735,
Albania,ALB,1919,,,943550,
Albania,ALB,1920,,,949173,
Albania,ALB,1921,,,954600,
Albania,ALB,1922,,,959829,
Albania,ALB,1923,,,964858,
Albania,ALB,1924,,,969914,
Albania,ALB,1925,,,974995,
Albania,ALB,1926,,,980104,
Albania,ALB,1927,,,985239,
Albania,ALB,1928,,,990401,
Albania,ALB,1929,,,996604,
Albania,ALB,1930,,,1003863,
Albania,ALB,1931,,,1012195,
Albania,ALB,1932,,,1021616,
Albania,ALB,1933,,,1032142,
Albania,ALB,1934,,,1042776,
Albania,ALB,1935,,,1053520,
Albania,ALB,1936,,,1064375,
Albania,ALB,1937,,,1075341,
Albania,ALB,1938,,,1086421,
Albania,ALB,1939,,,1098015,
Albania,ALB,1940,,,1110133,
Albania,ALB,1941,,,1122787,
Albania,ALB,1942,,,1135986,
Albania,ALB,1943,,,1149741,
Albania,ALB,1944,,,1163663,
Albania,ALB,1945,,,1177753,
Albania,ALB,1946,,,1192014,
Albania,ALB,1947,,,1206448,
Albania,ALB,1948,,,1221056,
Albania,ALB,1949,,,1239906,
Albania,ALB,1950,,,1263164,
Albania,ALB,1951,,,1287499,
Albania,ALB,1952,,,1316090,
Albania,ALB,1953,,,1348113,
Albania,ALB,1954,,,1382898,
Albania,ALB,1955,,,1419991,
Albania,ALB,1956,,,1459115,
Albania,ALB,1957,,,1500180,
Albania,ALB,1958,,,1543256,
Albania,ALB,1959,,,1588506,
Albania,ALB,1960,0.418375517,,1636091,
Albania,ALB,1961,0.418376,,1685926,
Albania,ALB,1962,0.418376,,1737675,
Albania,ALB,1963,0.418376,,1790571,
Albania,ALB,1964,0.418376,,1843649,
Albania,ALB,1965,0.737855394,,1896175,
Albania,ALB,1966,0.737855,,1947836,
Albania,ALB,1967,0.737855,,1998743,
Albania,ALB,1968,0.737855,,2049214,
Albania,ALB,1969,0.737855,,2099738,
Albania,ALB,1970,8.043866505,,2150704,
Albania,ALB,1971,8.04387,,2202186,
Albania,ALB,1972,8.04387,,2254058,
Albania,ALB,1973,8.04387,,2306284,
Albania,ALB,1974,8.04387,,2358852,
Albania,ALB,1975,0.89810974,,2411733,
Albania,ALB,1976,0.9127852,,2464981,
Albania,ALB,1977,0.944937537,,2518685,
Albania,ALB,1978,0.960024875,,2572852,
Albania,ALB,1979,0.989531894,,2627506,
Albania,ALB,1980,1.017635284,,2682697,
Albania,ALB,1981,1.059544191,,2737018,
Albania,ALB,1982,1.075162842,,2790284,
Albania,ALB,1983,1.089680341,,2844867,
Albania,ALB,1984,1.101875254,,2904142,
Albania,ALB,1985,1.120494115,,2969671,
Albania,ALB,1986,1.149722818,,3044201,
Albania,ALB,1987,1.152039077,,3124892,
Albania,ALB,1988,1.15589709,,3200972,
Albania,ALB,1989,1.183268491,,3257913,
Albania,ALB,1990,1.217258411,4827.318484,3286070,
Albania,ALB,1991,1.265091551,3496.580246,3280397,
Albania,ALB,1992,1.381687465,3265.017429,3245887,
Albania,ALB,1993,1.345769074,3599.027058,3195196,
Albania,ALB,1994,1.318917826,3921.851207,3146518,
Albania,ALB,1995,1.354027195,4471.87107,3112923,
Albania,ALB,1996,2.060541517,4909.228105,3098699,
Albania,ALB,1997,2.800224018,4400.577827,3099747,
Albania,ALB,1998,3.718637906,4819.387534,3110699,
Albania,ALB,1999,4.495857267,5475.169135,3122700,
Albania,ALB,2000,4.879359002,5893.136233,3129246,
Albania,ALB,2001,6.310373122,6441.853452,3129701,
Albania,ALB,2002,7.037326942,6754.536003,3126183,
Albania,ALB,2003,8.178259108,7154.784825,3118017,
Albania,ALB,2004,8.842723032,7580.629091,3104893,
Albania,ALB,2005,9.037582488,8040.878717,3086810,
Albania,ALB,2006,8.357761831,8569.191113,3063021,
Albania,ALB,2007,9.887943235,9150.518747,3033993,
Albania,ALB,2008,11.44281871,9912.577242,3002683,
Albania,ALB,2009,12.20969187,10313.92644,2973044,
Albania,ALB,2010,11.29794442,10749.48745,2948029,
Albania,ALB,2011,11.57020165,11052.79046,2928601,
Albania,ALB,2012,10.70657933,11227.99449,2914091,
Albania,ALB,2013,9.683895874,11361.29368,2903788,
Albania,ALB,2014,8.139128994,11586.86377,2896307,
Albania,ALB,2015,7.843521202,11878.48809,2890524,Europe
Albania,ALB,2016,8.614077281,12291.87338,2886427,
Albania,ALB,2017,8.554283747,12770.97504,2884169,
Albania,ALB,2018,8.62481528,13323.75336,2882735,
Albania,ALB,2019,8.429920057,13671.48842,2880913,
Albania,ALB,2020,,13295.41088,2877800,
Albania,ALB,2021,,,2872934,
Algeria,DZA,1900,,,4664019,
Algeria,DZA,1901,,,4727402,
Algeria,DZA,1902,,,4797767,
Algeria,DZA,1903,,,4875283,
Algeria,DZA,1904,,,4954052,
Algeria,DZA,1905,,,5034093,
Algeria,DZA,1906,,,5115427,
Algeria,DZA,1907,,,5198076,
Algeria,DZA,1908,,,5282059,
Algeria,DZA,1909,,,5355149,
Algeria,DZA,1910,,,5417110,
Algeria,DZA,1911,,,5467704,
Algeria,DZA,1912,,,5506688,
Algeria,DZA,1913,,,5533813,
Algeria,DZA,1914,,,5561073,
Algeria,DZA,1915,,,5588466,
Algeria,DZA,1916,,,5615995,
Algeria,DZA,1917,,,5643659,
Algeria,DZA,1918,,,5672196,
Algeria,DZA,1919,,,5707777,
Algeria,DZA,1920,,,5750516,
Algeria,DZA,1921,,,5800524,
Algeria,DZA,1922,,,5857917,
Algeria,DZA,1923,,,5922812,
Algeria,DZA,1924,,,5988425,
Algeria,DZA,1925,,,6054766,
Algeria,DZA,1926,,,6121841,
Algeria,DZA,1927,,,6189659,
Algeria,DZA,1928,,,6258229,
Algeria,DZA,1929,,,6336013,
Algeria,DZA,1930,,,6423262,
Algeria,DZA,1931,,,6520235,
Algeria,DZA,1932,,,6627192,
Algeria,DZA,1933,,,6744404,
Algeria,DZA,1934,,,6863688,
Algeria,DZA,1935,,,6985082,
Algeria,DZA,1936,,,7108623,
Algeria,DZA,1937,,,7234349,
Algeria,DZA,1938,,,7362298,
Algeria,DZA,1939,,,7488450,
Algeria,DZA,1940,,,7612711,
Algeria,DZA,1941,,,7734985,
Algeria,DZA,1942,,,7855176,
Algeria,DZA,1943,,,7973182,
Algeria,DZA,1944,,,8092960,
Algeria,DZA,1945,,,8214538,
Algeria,DZA,1946,,,8337943,
Algeria,DZA,1947,,,8463201,
Algeria,DZA,1948,,,8590341,
Algeria,DZA,1949,,,8726599,
Algeria,DZA,1950,,,8872250,
Algeria,DZA,1951,,,9023263,
Algeria,DZA,1952,,,9186150,
Algeria,DZA,1953,,,9364381,
Algeria,DZA,1954,,,9560147,
Algeria,DZA,1955,,,9774280,
Algeria,DZA,1956,,,10006145,
Algeria,DZA,1957,,,10253777,
Algeria,DZA,1958,,,10514077,
Algeria,DZA,1959,,,10783228,
Algeria,DZA,1960,,,11057864,
Algeria,DZA,1961,,,11336336,
Algeria,DZA,1962,,,11619828,
Algeria,DZA,1963,,,11912800,
Algeria,DZA,1964,,,12221675,
Algeria,DZA,1965,0.579242022,,12550880,
Algeria,DZA,1966,0.579242,,12902626,
Algeria,DZA,1967,0.579242,,13275020,
Algeria,DZA,1968,0.579242,,13663581,
Algeria,DZA,1969,0.579242,,14061724,
Algeria,DZA,1970,0.662288969,,14464992,
Algeria,DZA,1971,0.662289,,14872253,
Algeria,DZA,1972,0.662289,,15285992,
Algeria,DZA,1973,0.662289,,15709831,
Algeria,DZA,1974,0.662289,,16149018,
Algeria,DZA,1975,0.776145677,,16607705,
Algeria,DZA,1976,0.823625419,,17085799,
Algeria,DZA,1977,0.980497875,,17582899,
Algeria,DZA,1978,1.14350325,,18102266,
Algeria,DZA,1979,1.39641025,,18647801,
Algeria,DZA,1980,1.620046963,,19221659,
Algeria,DZA,1981,1.830581568,,19824297,
Algeria,DZA,1982,1.995858583,,20452901,
Algeria,DZA,1983,2.11250896,,21101875,
Algeria,DZA,1984,2.138017306,,21763578,
Algeria,DZA,1985,2.394204365,,22431507,
Algeria,DZA,1986,2.504377361,,23102386,
Algeria,DZA,1987,2.670360125,,23774287,
Algeria,DZA,1988,2.852332691,,24443472,
Algeria,DZA,1989,2.986717618,,25106192,
Algeria,DZA,1990,3.152312316,8746.351882,25758872,
Algeria,DZA,1991,3.345090822,8431.388541,26400468,
Algeria,DZA,1992,3.560142792,8383.769007,27028330,
Algeria,DZA,1993,3.864932497,8027.376107,27635517,
Algeria,DZA,1994,3.978230633,7792.084354,28213777,
Algeria,DZA,1995,4.090426297,7935.179014,28757788,
Algeria,DZA,1996,4.367266837,8116.959947,29266415,
Algeria,DZA,1997,4.708146417,8074.759681,29742980,
Algeria,DZA,1998,4.891902209,8360.151446,30192750,
Algeria,DZA,1999,5.224761739,8506.345679,30623406,
Algeria,DZA,2000,5.673969674,8710.455149,31042238,
Algeria,DZA,2001,5.977454694,8855.020186,31451513,
Algeria,DZA,2002,6.121467046,9232.427523,31855110,
Algeria,DZA,2003,6.445121129,9771.684856,32264159,
Algeria,DZA,2004,7.606471312,10058.43902,32692153,
Algeria,DZA,2005,7.758737297,10504.85847,33149720,
Algeria,DZA,2006,8.445934518,10527.42208,33641007,
Algeria,DZA,2007,8.980629012,10717.78446,34166976,
Algeria,DZA,2008,8.836988975,10796.90256,34730604,
Algeria,DZA,2009,7.29092001,10782.36109,35333882,
Algeria,DZA,2010,8.123784742,10970.70637,35977451,
Algeria,DZA,2011,8.344832016,11078.24233,36661438,
Algeria,DZA,2012,8.798877164,11233.53132,37383899,
Algeria,DZA,2013,8.213996003,11319.09706,38140135,
Algeria,DZA,2014,7.961184669,11512.70511,38923688,
Algeria,DZA,2015,8.224904208,11696.96523,39728020,Africa
Algeria,DZA,2016,8.396034839,11826.16642,40551398,
Algeria,DZA,2017,9.90834104,11737.41616,41389174,
Algeria,DZA,2018,9.948087553,11642.19835,42228415,
Algeria,DZA,2019,10.76629082,11510.55709,43053054,
Algeria,DZA,2020,,10681.6793,43851043,
Algeria,DZA,2021,,,44616626,
American Samoa,ASM,1900,,,6639,
American Samoa,ASM,1910,,,7469,
American Samoa,ASM,1920,,,8963,
American Samoa,ASM,1930,,,10756,
American Samoa,ASM,1940,,,12908,
American Samoa,ASM,1950,,,18941,
American Samoa,ASM,1951,,,19287,
American Samoa,ASM,1952,,,19546,
American Samoa,ASM,1953,,,19699,
American Samoa,ASM,1954,,,19758,
American Samoa,ASM,1955,,,19748,
American Samoa,ASM,1956,,,19712,
American Samoa,ASM,1957,,,19671,
American Samoa,ASM,1958,,,19690,
American Samoa,ASM,1959,,,19827,
American Samoa,ASM,1960,,,20127,
American Samoa,ASM,1961,,,20605,
American Samoa,ASM,1962,,,21246,
American Samoa,ASM,1963,,,22029,
American Samoa,ASM,1964,,,22850,
American Samoa,ASM,1965,,,23675,
American Samoa,ASM,1966,,,24473,
American Samoa,ASM,1967,,,25235,
American Samoa,ASM,1968,,,25980,
American Samoa,ASM,1969,,,26698,
American Samoa,ASM,1970,,,27362,
American Samoa,ASM,1971,,,27982,
American Samoa,ASM,1972,,,28564,
American Samoa,ASM,1973,,,29103,
American Samoa,ASM,1974,,,29595,
American Samoa,ASM,1975,,,30045,
American Samoa,ASM,1976,,,30455,
American Samoa,ASM,1977,,,30834,
American Samoa,ASM,1978,,,31262,
